n_threads,time
2,3.15
2,1.62
2,3.99
2,5.10
2,1.22
2,0.56
2,5.14
2,4.72
2,2.26
2,1.96
2,4.65
2,2.75
2,4.57
2,1.39
2,5.76
3,6.78
3,7.55
3,6.34
3,6.73
3,2.94
3,6.40
3,6.63
3,6.98
3,6.42
3,5.79
3,5.44
3,6.27
3,5.22
3,5.71
3,6.72
4,4.07
4,5.60
4,4.77
4,5.40
4,6.51
4,5.71
4,6.97
4,5.03
4,6.34
4,6.42
4,6.20
4,6.00
4,5.22
4,7.39
4,6.34
5,3.73
5,6.69
5,6.75
5,5.09
5,6.13
5,5.10
5,5.62
5,7.33
5,7.01
5,6.36
5,6.34
5,8.63
5,7.20
5,6.23
5,5.98
6,7.03
6,7.18
6,5.48
6,6.97
6,7.82
6,7.68
6,8.79
6,8.08
6,5.14
6,7.10
6,8.95
6,8.70
6,9.22
6,6.94
6,4.76
7,5.48
7,6.57
7,5.90
7,6.49
7,7.63
7,5.81
7,7.04
7,6.50
7,3.77
7,6.70
7,3.82
7,6.04
7,7.02
7,5.34
7,5.87
8,7.62
8,5.57
8,8.09
8,8.70
8,7.16
8,7.95
8,7.09
8,6.87
8,6.38
8,6.94
8,7.51
8,7.23
8,5.63
8,7.52
8,6.80
