n_threads,time
2,0.05
2,0.05
2,0.05
2,0.03
2,0.03
2,0.04
2,0.03
2,0.04
2,0.04
2,0.03
2,0.02
2,0.03
2,0.05
2,0.04
2,0.05
3,0.11
3,0.10
3,0.10
3,0.10
3,0.10
3,0.10
3,0.10
3,0.10
3,0.10
3,0.10
3,0.10
3,0.10
3,0.11
3,0.10
3,0.11
4,0.14
4,0.15
4,0.17
4,0.19
4,0.16
4,0.17
4,0.16
4,0.16
4,0.16
4,0.17
4,0.14
4,0.16
4,0.16
4,0.14
4,0.16
5,0.26
5,0.20
5,0.24
5,0.23
5,0.30
5,0.31
5,0.25
5,0.24
5,0.18
5,0.20
5,0.27
5,0.25
5,0.23
5,0.24
5,0.25
6,0.33
6,0.24
6,0.31
6,0.32
6,0.31
6,0.30
6,0.23
6,0.26
6,0.26
6,0.31
6,0.24
6,0.27
6,0.21
6,0.25
6,0.26
7,0.29
7,0.26
7,0.28
7,0.36
7,0.27
7,0.28
7,0.20
7,0.35
7,0.36
7,0.38
7,0.25
7,0.35
7,0.27
7,0.34
7,0.36
8,0.35
8,0.38
8,0.48
8,0.34
8,0.39
8,0.36
8,0.37
8,0.39
8,0.51
8,0.31
8,0.39
8,0.34
8,0.44
8,0.30
8,0.40
