n_threads,time
2,0.05
2,0.06
2,0.04
2,0.04
2,0.05
2,0.03
2,0.05
2,0.03
2,0.04
2,0.02
2,0.05
2,0.06
2,0.04
2,0.06
2,0.03
3,0.13
3,0.14
3,0.15
3,0.18
3,0.15
3,0.16
3,0.16
3,0.16
3,0.14
3,0.14
3,0.14
3,0.13
3,0.13
3,0.13
3,0.14
4,0.18
4,0.17
4,0.19
4,0.18
4,0.17
4,0.19
4,0.21
4,0.18
4,0.18
4,0.18
4,0.20
4,0.18
4,0.18
4,0.19
4,0.19
5,0.41
5,0.37
5,0.34
5,0.32
5,0.34
5,0.33
5,0.31
5,0.39
5,0.31
5,0.28
5,0.28
5,0.25
5,0.32
5,0.32
5,0.37
6,0.27
6,0.37
6,0.37
6,0.36
6,0.24
6,0.43
6,0.39
6,0.40
6,0.34
6,0.37
6,0.36
6,0.32
6,0.30
6,0.40
6,0.27
7,0.48
7,0.38
7,0.36
7,0.43
7,0.34
7,0.41
7,0.43
7,0.34
7,0.36
7,0.40
7,0.39
7,0.37
7,0.50
7,0.34
7,0.48
8,0.48
8,0.56
8,0.46
8,0.65
8,0.61
8,0.55
8,0.60
8,0.51
8,0.57
8,0.55
8,0.44
8,0.53
8,0.62
8,0.55
8,0.53
